Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27DEC24-37000-P,-,45,,-54.82466,-12.67939,89.96879,-,,-0.09235,0.031,0.8,67.08,0.029,0.0311,0.0335,70.41,9.4
BTC-27DEC24-38000-C,-,0.2,,193.89858,-13.42879,95.50998,-,,0.89982,0.2685,1.2,65.91,0.4595,0.4632,0.467,71.14,1.2
BTC-27DEC24-38000-P,0.1,143.8,,-59.72539,-13.42879,95.50998,-,,-0.10018,0.0365,0.8,66.86,0.032,0.0343,0.037,70.34,9.1
BTC-27DEC24-39000-C,-,0.2,,195.66564,-14.12274,100.88249,0.00001,,0.89197,0.531,1.2,65.65,0.4475,0.4513,0.4555,70.92,1.2
BTC-27DEC24-39000-P,-,27.6,,-64.63265,-14.12274,100.88249,0.00001,,-0.10803,0.0365,0.8,66.52,0.035,0.0375,0.04,69.82,8.8
BTC-27DEC24-40000-C,-,28.2,,197.01061,-14.86652,106.42828,0.00001,,0.88357,0.518,1,65.59,0.436,0.4399,0.444,70.59,1
BTC-27DEC24-40000-P,0.1,441.4,,-69.96199,-14.86652,106.42828,0.00001,,-0.11643,0.039,0.7,66.4,0.0385,0.0411,0.0435,69.53,8.5
BTC-27DEC24-41000-C,-,11.2,,198.04348,-15.62979,112.02092,0.00001,,0.87478,0.53,1,65.71,0.425,0.4288,0.4325,70.17,1
BTC-27DEC24-41000-P,-,22.7,,-75.60343,-15.62979,112.02092,0.00001,,-0.12522,0.0435,0.7,66.46,0.0425,0.045,0.0475,69.43,8.2
BTC-27DEC24-42000-C,-,9.8,,198.96374,-16.36156,117.49671,0.00001,,0.86585,0.51,1,65.69,0.414,0.4178,0.4215,69.94,1
BTC-27DEC24-42000-P,-,37.9,,-81.35749,-16.36156,117.49671,0.00001,,-0.13415,0.0515,0.7,66.38,0.0465,0.0491,0.0515,69.21,8
BTC-27DEC24-43000-C,-,8.7,,199.63372,-17.09562,122.94368,0.00001,,0.85662,0.4205,1,65.54,0.403,0.407,0.4105,69.61,1
BTC-27DEC24-43000-P,-,37.5,,-87.36183,-17.09562,122.94368,0.00001,,-0.14338,0.0505,0.7,66.19,0.0505,0.0534,0.056,69.17,7.7
BTC-27DEC24-44000-C,-,5.2,,200.07476,-17.82611,128.33049,0.00001,,0.84714,0.494,1,65.56,0.3925,0.3966,0.4,69.45,1
BTC-27DEC24-44000-P,-,35.8,,-93.59511,-17.82611,128.33049,0.00001,,-0.15286,0.0545,0.7,66.16,0.055,0.0579,0.0605,69.01,7.6
BTC-27DEC24-45000-C,-,158.6,,200.30256,-18.54896,133.63312,0.00001,,0.83742,0.4435,1,65.46,0.382,0.3863,0.39,69.45,1
BTC-27DEC24-45000-P,-,384.7,,-100.04161,-18.54896,133.63312,0.00001,,-0.16258,0.059,7.4,66.02,0.0595,0.0627,0.065,68.76,7.4
BTC-27DEC24-46000-C,-,12.6,,200.2855,-19.27205,138.85331,0.00001,,0.82745,0.3925,1,65.5,0.372,0.3764,0.38,69.34,1
BTC-27DEC24-46000-P,-,95.6,,-106.733,-19.27205,138.85331,0.00001,,-0.17255,0.065,7.2,66.02,0.0645,0.0678,0.07,68.66,7.2
BTC-27DEC24-47000-C,-,16.9,,200.09712,-19.97768,143.94129,0.00001,,0.81733,0.388,1,65.44,0.362,0.3667,0.37,69.14,1
BTC-27DEC24-47000-P,-,14.1,,-113.59569,-19.97768,143.94129,0.00001,,-0.18267,0.069,7.1,65.93,0.0695,0.0732,0.0755,68.7,7.1
BTC-27DEC24-48000-C,-,23.2,,199.74836,-20.66377,148.88528,0.00001,,0.80706,0.42,0.9,65.5,0.3525,0.3572,0.3605,69.08,0.9
BTC-27DEC24-48000-P,-,35,,-120.61876,-20.66377,148.88528,0.00001,,-0.19294,0.0745,6.9,65.96,0.075,0.0787,0.081,68.65,6.9
BTC-27DEC24-49000-C,-,8.6,,199.24919,-21.32861,153.67558,0.00001,,0.79668,0.401,0.9,65.47,0.343,0.348,0.351,68.94,0.9
BTC-27DEC24-49000-P,-,26.1,,-127.79224,-21.32861,153.67558,0.00001,,-0.20332,0.078,6,66.12,0.081,0.0845,0.0865,68.5,6.7
BTC-27DEC24-50000-C,-,131.8,,198.61419,-21.96944,158.30266,0.00001,,0.78618,0.3575,0.9,65.55,0.334,0.3389,0.342,68.92,0.9
BTC-27DEC24-50000-P,0.4,218.5,,-135.10156,-21.96944,158.30266,0.00001,,-0.21382,0.0835,6,66.17,0.087,0.0904,0.0925,68.48,6.6
BTC-27DEC24-51000-C,-,15,,197.84296,-22.58738,162.76298,0.00001,,0.7756,0.3505,0.8,65.55,0.325,0.33,0.333,68.82,0.8
BTC-27DEC24-51000-P,-,24.6,,-142.54711,-22.58738,162.76298,0.00001,,-0.2244,0.117,6,66.13,0.093,0.0966,0.0985,68.38,6.1
BTC-27DEC24-52000-C,-,25.5,,196.94369,-23.18155,167.0508,0.00001,,0.76493,0.4045,0.8,65.65,0.3165,0.3214,0.3245,68.84,0.8
BTC-27DEC24-52000-P,-,19.1,,-150.12069,-23.18155,167.0508,0.00001,,-0.23507,0.0955,6.6,66.01,0.099,0.103,0.105,68.4,0.6
BTC-27DEC24-53000-C,2,25.4,,195.92184,-23.75188,171.16189,0.00001,,0.75421,0.308,0.8,65.67,0.308,0.313,0.316,68.79,0.8
BTC-27DEC24-53000-P,-,50.5,,-157.81686,-23.75188,171.16189,0.00001,,-0.24579,0.129,6,66.2,0.106,0.1096,0.1115,68.34,5.6
BTC-27DEC24-54000-C,-,20.9,,194.78878,-24.29679,175.09188,0.00001,,0.74343,0.313,0.8,65.61,0.2995,0.3048,0.3075,68.65,0.8
BTC-27DEC24-54000-P,-,58.9,,-165.62424,-24.29679,175.09188,0.00001,,-0.25657,0.1045,6,66.12,0.1125,0.1164,0.1185,68.4,5.3
BTC-27DEC24-55000-C,0.1,532.5,,193.54989,-24.81637,178.8384,0.00001,,0.73261,0.295,0.8,65.66,0.2915,0.2967,0.2995,68.64,0.8
BTC-27DEC24-55000-P,-,567.5,,-173.53744,-24.81637,178.8384,0.00001,,-0.26739,0.1095,6,66.15,0.1195,0.1234,0.1255,68.38,5.1
BTC-27DEC24-56000-C,-,21.9,,192.21275,-25.31018,182.39951,0.00001,,0.72177,0.3055,0.8,65.82,0.284,0.2889,0.292,68.74,0.8
BTC-27DEC24-56000-P,-,91.9,,-181.5489,-25.31018,182.39951,0.00001,,-0.27823,0.121,6.6,66.1,0.1265,0.1306,0.133,68.47,4.8
BTC-27DEC24-57000-C,2.1,111.3,,190.78493,-25.77779,185.77413,0.00001,,0.71091,0.3005,0.8,65.9,0.2765,0.2813,0.2845,68.77,0.8
BTC-27DEC24-57000-P,-,16.9,,-189.65103,-25.77779,185.77413,0.00001,,-0.28909,0.157,6,66.17,0.134,0.138,0.1405,68.5,4.6
BTC-27DEC24-58000-C,-,19.4,,189.27692,-26.21781,188.96211,0.00001,,0.70006,0.379,0.8,65.91,0.269,0.2738,0.277,68.73,0.8
BTC-27DEC24-58000-P,-,32,,-197.83335,-26.21781,188.96211,0.00001,,-0.29994,0.138,6,66.34,0.142,0.1456,0.1485,68.63,4.5
BTC-27DEC24-59000-C,-,28.8,,187.6826,-26.63416,191.96333,0.00001,,0.68921,0.2955,0.8,66.03,0.262,0.2665,0.27,68.8,0.8
BTC-27DEC24-59000-P,-,51.8,,-206.10199,-26.63416,191.96333,0.00001,,-0.31079,0.2045,6,66.26,0.1495,0.1534,0.156,68.51,4.3
BTC-27DEC24-60000-C,0.1,743.9,,186.12317,-26.98682,194.79029,0.00001,,0.67834,0.266,0.8,66.08,0.255,0.2592,0.263,68.81,0.8
BTC-27DEC24-60000-P,0.9,225.3,,-214.33574,-26.98682,194.79029,0.00001,,-0.32166,0.1615,6,66.3,0.1575,0.161,0.1615,67.66,10
BTC-27DEC24-61000-C,0.1,24.8,,184.26272,-27.3964,197.40651,0.00001,,0.6676,0.2495,0.7,66.06,0.248,0.2526,0.256,68.76,0.7
BTC-27DEC24-61000-P,-,18.1,,-222.8705,-27.3964,197.40651,0.00001,,-0.3324,0.1675,6,66.43,0.166,0.1695,0.1765,69.98,12.5
BTC-27DEC24-62000-C,-,51.1,,182.42245,-27.75387,199.84551,0.00001,,0.65688,0.2665,5.1,66.15,0.2415,0.2461,0.2495,68.81,5.1
BTC-27DEC24-62000-P,10,25.5,,-231.38509,-27.75387,199.84551,0.00001,,-0.34312,0.1725,6,66.34,0.174,0.178,0.185,70.01,12.2
BTC-27DEC24-63000-C,0.2,38.1,,180.53352,-28.08558,202.10239,0.00001,,0.64621,0.2375,5.2,66.35,0.2355,0.2396,0.243,68.81,5.2
BTC-27DEC24-63000-P,-,73.5,,-239.94833,-28.08558,202.10239,0.00001,,-0.35379,0.1755,6,66.36,0.1825,0.1866,0.194,70.15,12.2
BTC-27DEC24-65000-C,0.3,912.5,,176.75409,-28.61142,206.11966,0.00001,,0.62489,0.2255,5.2,66.4,0.223,0.2268,0.231,68.98,5.2
BTC-27DEC24-65000-P,-,74.4,,-257.07639,-28.61142,206.11966,0.00001,,-0.37511,0.1895,9,65.91,0.1985,0.2038,0.2095,69.46,9
BTC-27DEC24-70000-C,0.3,1407.3,,166.40052,-29.65741,213.15105,0.00001,,0.57343,0.198,5.7,66.8,0.1955,0.1987,0.203,69.14,5.7
BTC-27DEC24-70000-P,0.1,102,,-300.80154,-29.65741,213.15105,0.00001,,-0.42657,0.245,6,65.19,0.2425,0.2508,0.2545,68.93,1
BTC-27DEC24-75000-C,1,977.2,,155.55237,-30.31498,216.39176,0.00001,,0.52548,0.1815,6,67.28,0.172,0.1752,0.179,69.44,6
BTC-27DEC24-75000-P,-,70,,-345.02126,-30.31498,216.39176,0.00001,,-0.47452,0.294,3,65.04,0.292,0.3025,0.312,71.18,3
BTC-27DEC24-80000-C,15.9,1114.2,,144.80739,-30.51603,216.58088,0.00001,,0.48072,0.156,6.1,67.69,0.1515,0.1546,0.1585,69.84,6.1
BTC-27DEC24-80000-P,-,65.8,,-389.13782,-30.51603,216.58088,0.00001,,-0.51928,0.331,-,-,-,0.3571,-,-,-
BTC-27DEC24-85000-C,-,632.1,,134.4681,-30.48095,214.40739,0.00001,,0.44037,0.145,12.1,68.17,0.134,0.1375,0.1405,70.18,6.1
BTC-27DEC24-85000-P,-,16.4,,-432.84869,-30.48095,214.40739,0.00001,,-0.55963,0.4575,0.1,-,0.2525,0.4152,-,-,-
BTC-27DEC24-90000-C,0.2,964.7,,124.54149,-30.04321,210.31379,0.00001,,0.40241,0.124,0.6,68.51,0.1185,0.1219,0.125,70.57,6
BTC-27DEC24-90000-P,-,28.6,,-476.14687,-30.04321,210.31379,0.00001,,-0.59759,0.46,0.3,-,0.1,0.4747,-,-,-
BTC-27DEC24-95000-C,0.4,334.1,,115.39335,-29.55405,205.06178,0.00001,,0.36914,0.1085,11.4,69.16,0.106,0.1093,0.112,71.1,6
BTC-27DEC24-95000-P,-,15.9,,-518.66658,-29.55405,205.06178,0.00001,,-0.63086,0.418,-,-,-,0.5372,-,-,-
BTC-27DEC24-100000-C,9.5,2987.5,,106.97885,-28.95158,199.00804,0.00001,,0.33936,0.097,11.5,70.06,0.096,0.0984,0.1005,71.57,6
BTC-27DEC24-100000-P,1.6,19.7,,-560.45266,-28.95158,199.00804,0.00001,,-0.66064,0.594,-,-,-,0.6015,0.752,118.01,1
BTC-27DEC24-105000-C,-,140.7,,98.78477,-27.99121,191.8165,0.00001,,0.31024,0.097,11.5,69.96,0.0845,0.0878,0.0905,72.04,6.1
BTC-27DEC24-105000-P,-,0.9,,-602.01832,-27.99121,191.8165,0.00001,,-0.68976,0.447,-,-,-,0.666,-,-,-
BTC-27DEC24-110000-C,2.4,506.5,,91.25281,-26.99759,184.26069,0.00001,,0.28414,0.08,0.6,70.25,0.0755,0.0786,0.0815,72.42,6.1
BTC-27DEC24-110000-P,-,2.1,,-642.92185,-26.99759,184.26069,0.00001,,-0.71586,0.661,-,-,-,0.732,-,-,-
BTC-27DEC24-115000-C,-,89.8,,84.72162,-26.17157,177.09854,0.00001,,0.2623,0.0785,12.1,70.68,0.068,0.0715,0.074,72.94,6.1
BTC-27DEC24-115000-P,-,-,,-682.82461,-26.17157,177.09854,0.00001,,-0.7377,1.514,-,-,-,0.8001,-,-,-
BTC-27DEC24-120000-C,14.3,563.3,,78.78424,-25.33502,169.99257,0.00001,,0.24269,0.0645,11.7,71.53,0.0625,0.0653,0.067,73.29,0.6
BTC-27DEC24-120000-P,-,5.8,,-722.13357,-25.33502,169.99257,0.00001,,-0.75731,0.8455,-,-,-,0.869,-,-,-
BTC-27DEC24-125000-C,0.6,117.4,,72.91078,-24.26677,162.24283,0.00001,,0.22314,0.058,11.7,71.66,0.056,0.0589,0.061,73.71,0.6
BTC-27DEC24-125000-P,-,6.2,,-761.37861,-24.26677,162.24283,0.00001,,-0.77686,0.7802,-,-,-,0.9378,-,-,-
BTC-27DEC24-130000-C,5,243,,67.60019,-23.24858,154.75833,0.00001,,0.20574,0.0595,12,71.89,0.0505,0.0535,0.0555,74.05,0.7
BTC-27DEC24-130000-P,-,15.4,,-800.06076,-23.24858,154.75833,0.00001,,-0.79426,0.8915,-,-,-,1.0075,-,-,-
BTC-27DEC24-135000-C,0.1,65.8,,62.67388,-22.22047,147.36394,0.00001,,0.18973,0.0495,0.7,72.06,0.0455,0.0486,0.051,74.55,0.7
BTC-27DEC24-135000-P,-,17.4,,-838.35865,-22.22047,147.36394,0.00001,,-0.81027,0.8795,-,-,-,1.0778,-,-,-
BTC-27DEC24-140000-C,5.3,280.9,,58.25488,-21.26631,140.38988,0.00001,,0.17556,0.044,0.7,72.43,0.0415,0.0444,0.0465,74.81,0.7
BTC-27DEC24-140000-P,-,1.2,,-876.14923,-21.26631,140.38988,0.00001,,-0.82444,0.975,-,-,-,1.1487,-,-,-
BTC-27DEC24-150000-C,6.8,565,,50.56699,-19.48464,127.41181,0.00001,,0.15122,0.035,0.7,73,0.0345,0.0373,0.0395,75.62,0.7
BTC-27DEC24-150000-P,0.1,2.2,,-950.58027,-19.48464,127.41181,0.00001,,-0.84878,1.2815,-,-,-,1.292,-,-,-
BTC-27DEC24-160000-C,23,318.5,,44.15256,-17.8629,115.70715,0.00001,,0.13119,0.033,0.7,73.6,0.029,0.0318,0.034,76.49,0.7
BTC-27DEC24-160000-P,-,2.9,,-1023.73785,-17.8629,115.70715,0.00001,,-0.86881,1.4,-,-,-,1.4367,-,-,-
BTC-27DEC24-180000-C,38,272.8,,34.45216,-15.18564,96.38055,-,,0.10143,0.0245,0.5,75.11,0.0215,0.0238,0.026,78.22,0.8
BTC-27DEC24-180000-P,-,14.1,,-1166.92456,-15.18564,96.38055,-,,-0.89857,1.345,-,-,-,1.7294,-,-,-
BTC-27DEC24-200000-C,30,465.7,,26.95348,-12.73269,79.75532,-,,0.07863,0.0215,8.8,75.67,0.0155,0.0179,0.02,79.46,0.8
BTC-27DEC24-200000-P,-,17.8,,-1307.90953,-12.73269,79.75532,-,,-0.92137,1.812,-,-,-,2.0241,-,-,-
BTC-27DEC24-240000-C,14.1,377.1,,19.31829,-10.31836,61.50642,-,,0.05621,0.013,4.9,80.4,0.0115,0.0127,0.0135,82.59,0.9
BTC-27DEC24-240000-P,-,7.6,,-1582.51733,-10.31836,61.50642,-,,-0.94379,2.09,-,-,-,2.6201,-,-,-
BTC-27DEC24-300000-C,12.4,308.8,,11.59956,-7.01505,40.39544,-,,0.03338,0.008,0.1,83.32,0.0065,0.0073,0.008,85.79,1
BTC-27DEC24-300000-P,-,1.4,,-1990.69496,-7.01505,40.39544,-,,-0.96662,3.093,-,-,-,3.5165,-,-,-
